"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_COUNTRY_NAME","AIRPORT_STATE_NAME","AIRPORT_STATE_FIPS","CITY_MARKET_ID","DISPLAY_CITY_MARKET_NAME_FULL","LATITUDE","LONGITUDE","AIRPORT_IS_LATEST",
1624302,16243,"YXH","Medicine Hat Airport","Medicine Hat, Canada","Canada","Alberta","",36243,"Medicine Hat, Canada",50.01888889,-110.72083333,0,
1624303,16243,"YXH","Medicine Hat Airport","Medicine Hat, Canada","Canada","Alberta","",36243,"Medicine Hat, Canada",50.01888889,-110.72055556,1,
1624401,16244,"YXJ","Fort St. John Airport","Fort St. John, Canada","Canada","British Columbia","",36244,"Fort St. John, Canada",56.23333333,-120.73333333,0,
1624402,16244,"YXJ","Fort St. John Airport","Fort St. John, Canada","Canada","British Columbia","",36244,"Fort St. John, Canada",56.23805556,-120.74027778,0,
1624403,16244,"YXJ","Fort St. John Airport","Fort St. John, Canada","Canada","British Columbia","",36244,"Fort St. John, Canada",56.23833333,-120.74027778,1,
1624501,16245,"YXK","Rimouski Airport","Rimouski, Canada","Canada","Quebec","",36245,"Rimouski, Canada",48.47805556,-68.49694444,0,
1624502,16245,"YXK","Rimouski Airport","Rimouski, Canada","Canada","Quebec","",36245,"Rimouski, Canada",48.47777778,-68.49638889,1,
1624601,16246,"YXL","Sioux Lookout Airport","Sioux Lookout, Canada","Canada","Ontario","",36246,"Sioux Lookout, Canada",50.11666667,-91.90277778,0,
1624602,16246,"YXL","Sioux Lookout Airport","Sioux Lookout, Canada","Canada","Ontario","",36246,"Sioux Lookout, Canada",50.11416667,-91.90555556,1,
1624701,16247,"YXP","Pangnirtung Airport","Pangnirtung, Canada","Canada","Northwest Territories","",36247,"Pangnirtung, Canada",66.14527778,-65.71305556,0,
1624702,16247,"YXP","Pangnirtung Airport","Pangnirtung, Canada","Canada","Nunavut Territory","",36247,"Pangnirtung, Canada",66.14527778,-65.71305556,0,
1624703,16247,"YXP","Pangnirtung Airport","Pangnirtung, Canada","Canada","Nunavut Territory","",36247,"Pangnirtung, Canada",66.14500000,-65.71361111,1,
1624801,16248,"YXQ","Beaver Creek Airport","Beaver Creek, Canada","Canada","Yukon Territory","",36248,"Beaver Creek, Canada",62.41027778,-140.86888889,1,
1624901,16249,"YXR","Earlton Airport","Earlton, Canada","Canada","Ontario","",36249,"Earlton, Canada",47.69722222,-79.85194444,0,
1624902,16249,"YXR","Timiskaming Regional","Earlton, Canada","Canada","Ontario","",36249,"Earlton, Canada",47.69500000,-79.84888889,1,
1625001,16250,"YXS","Prince George Airport","Prince George, Canada","Canada","British Columbia","",36250,"Prince George, Canada",53.89166667,-122.67500000,0,
1625002,16250,"YXS","Prince George Airport","Prince George, Canada","Canada","British Columbia","",36250,"Prince George, Canada",53.88416667,-122.67750000,1,
1625101,16251,"YXT","Terrace Airport","Terrace, Canada","Canada","British Columbia","",36251,"Terrace, Canada",54.46555556,-128.57444444,0,
1625102,16251,"YXT","Terrace Airport","Terrace, Canada","Canada","British Columbia","",36251,"Terrace, Canada",54.46861111,-128.57833333,1,
1625201,16252,"YXU","London Airport","London, Canada","Canada","Ontario","",36252,"London, Canada",43.03333333,-81.15000000,0,
1625202,16252,"YXU","London Airport","London, Canada","Canada","Ontario","",36252,"London, Canada",43.03305556,-81.15111111,1,
1625301,16253,"YXX","Abbotsford Airport","Abbotsford, Canada","Canada","British Columbia","",36253,"Abbotsford, Canada",49.02388889,-122.36611111,0,
1625302,16253,"YXX","Abbotsford Airport","Abbotsford, Canada","Canada","British Columbia","",36253,"Abbotsford, Canada",49.01916667,-122.38000000,1,
1625401,16254,"YXY","Whitehorse International","Whitehorse, Canada","Canada","Yukon Territory","",36254,"Whitehorse, Canada",60.71666667,-135.06666667,0,
1625402,16254,"YXY","Whitehorse International","Whitehorse, Canada","Canada","Yukon Territory","",36254,"Whitehorse, Canada",60.70944444,-135.06722222,0,
1625403,16254,"YXY","Erik Nielsen International","Whitehorse, Canada","Canada","Yukon Territory","",36254,"Whitehorse, Canada",60.70944444,-135.06722222,1,
1625501,16255,"YXZ","Wawa Airport","Wawa, Canada","Canada","Ontario","",36255,"Wawa, Canada",47.96250000,-84.78583333,0,
1625502,16255,"YXZ","Wawa Airport","Wawa, Canada","Canada","Ontario","",36255,"Wawa, Canada",47.96694444,-84.78638889,1,
1625601,16256,"YYB","North Bay Airport","North Bay, Canada","Canada","Ontario","",36256,"North Bay, Canada",46.36583333,-79.42138889,0,
1625602,16256,"YYB","North Bay Airport","North Bay, Canada","Canada","Ontario","",36256,"North Bay, Canada",46.36388889,-79.42416667,1,
1625701,16257,"YYC","Calgary International","Calgary, Canada","Canada","Alberta","",30863,"Calgary, Canada",51.11277778,-114.01972222,0,
1625702,16257,"YYC","Calgary International","Calgary, Canada","Canada","Alberta","",30863,"Calgary, Canada",51.11388889,-114.02000000,0,
1625703,16257,"YYC","Calgary International","Calgary, Canada","Canada","Alberta","",30863,"Calgary, Canada",51.12250000,-114.01333333,1,
1625801,16258,"YYD","Smithers Airport","Smithers, Canada","Canada","British Columbia","",36258,"Smithers, Canada",54.82555556,-127.18027778,0,
1625802,16258,"YYD","Smithers Airport","Smithers, Canada","Canada","British Columbia","",36258,"Smithers, Canada",54.82527778,-127.18277778,1,
1625901,16259,"YYE","Fort Nelson Airport","Fort Nelson, Canada","Canada","British Columbia","",36259,"Fort Nelson, Canada",58.83333333,-122.58333333,0,
1625902,16259,"YYE","Fort Nelson Airport","Fort Nelson, Canada","Canada","British Columbia","",36259,"Fort Nelson, Canada",58.83638889,-122.59694444,1,
1626001,16260,"YYF","Penticton Airport","Penticton, Canada","Canada","British Columbia","",36260,"Penticton, Canada",49.46472222,-119.60000000,0,
1626002,16260,"YYF","Penticton Airport","Penticton, Canada","Canada","British Columbia","",36260,"Penticton, Canada",49.46250000,-119.60222222,1,
1626101,16261,"YYG","Charlottetown Airport","Charlottetown, Canada","Canada","Prince Edward Island","",36261,"Charlottetown, Canada",46.28833333,-63.12972222,0,
1626102,16261,"YYG","Charlottetown Airport","Charlottetown, Canada","Canada","Prince Edward Island","",36261,"Charlottetown, Canada",46.28916667,-63.11916667,1,
1626201,16262,"YYH","Spence Bay Airport","Spence Bay, Canada","Canada","Northwest Territories","",36262,"Spence Bay, Canada",69.54555556,-93.57694444,0,
1626202,16262,"YYH","Taloyoak Airport","Taloyoak, Canada","Canada","Northwest Territories","",36262,"Taloyoak, Canada",69.54555556,-93.57694444,0,
1626203,16262,"YYH","Taloyoak Airport","Taloyoak, Canada","Canada","Nunavut Territory","",36262,"Taloyoak, Canada",69.54611111,-93.57611111,0,
1626204,16262,"YYH","Taloyoak Airport","Taloyoak, Canada","Canada","Nunavut Territory","",36262,"Taloyoak, Canada",69.54666667,-93.57694444,1,
1626301,16263,"YYJ","Victoria International","Victoria, Canada","Canada","British Columbia","",36233,"Victoria, Canada",48.64861111,-123.42361111,0,
1626302,16263,"YYJ","Victoria International","Victoria, Canada","Canada","British Columbia","",36233,"Victoria, Canada",48.64722222,-123.42583333,1,
1626401,16264,"YYL","Lynn Lake Airport","Lynn Lake, Canada","Canada","Manitoba","",36264,"Lynn Lake, Canada",56.86666667,-101.06666667,0,
1626402,16264,"YYL","Lynn Lake Airport","Lynn Lake, Canada","Canada","Manitoba","",36264,"Lynn Lake, Canada",56.86388889,-101.07611111,0,
1626403,16264,"YYL","Lynn Lake Airport","Lynn Lake, Canada","Canada","Manitoba","",36264,"Lynn Lake, Canada",56.86444444,-101.07611111,1,
1626501,16265,"YYN","Swift Current Airport","Swift Current, Canada","Canada","Saskatchewan","",36265,"Swift Current, Canada",50.28333333,-107.68333333,0,
1626502,16265,"YYN","Swift Current Airport","Swift Current, Canada","Canada","Saskatchewan","",36265,"Swift Current, Canada",50.29194444,-107.69055556,0,
1626503,16265,"YYN","Swift Current Airport","Swift Current, Canada","Canada","Saskatchewan","",36265,"Swift Current, Canada",50.29250000,-107.69083333,1,
